date;plant-stand;precip;temp;hail;crop-hist;area-damaged;severity;seed-tmt;germination;plant-growth;leaves;leafspots-halo;leafspots-marg;leafspot-size;leaf-shread;leaf-malf;leaf-mild;stem;lodging;stem-cankers;canker-lesion;fruiting-bodies;external-decay;mycelium;int-discolor;sclerotia;fruit-pods;fruit-spots;seed;mold-growth;seed-discolor;seed-size;shriveling;roots;class
july;normal;gt-norm;norm;no;same-lst-yr;scattered;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;dna;gt-1/8;absent;absent;lower-surf;abnorm;yes;absent;tan;absent;watery;present;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
august;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;upper-areas;severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
may;lt-normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;watery;absent;none;absent;norm;absent;norm;present;absent;norm;absent;rotted;phytophthora-rot
june;lt-normal;norm;norm;yes;same-lst-two-yrs;whole-field;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;present;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
october;normal;gt-norm;norm;no;same-lst-yr;scattered;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
july;lt-normal;norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
july;normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dk-brown-blk;absent;firm-and-dry;absent;brown;absent;few-present;dna;abnorm;absent;absent;lt-norm;absent;galls-cysts;cyst-nematode
october;normal;gt-norm;gt-norm;no;same-lst-yr;scattered;minor;none;80-89;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;no;absent;tan;absent;absent;absent;none;absent;diseased;colored;abnorm;absent;present;norm;absent;norm;purple-seed-stain
june;lt-normal;norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;90-100;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
august;normal;norm;norm;yes;same-lst-sev-yrs;scattered;minor;none;90-100;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
july;lt-normal;gt-norm;lt-norm;yes;diff-lst-year;scattered;pot-severe;none;90-100;abnorm;abnorm;yellow-halos;no-w-s-marg;gt-1/8;absent;present;absent;abnorm;yes;absent;dna;present;absent;absent;black;absent;dna;colored;norm;absent;absent;norm;absent;rotted;herbicide-injury
september;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;upper-areas;pot-severe;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;norm;gt-norm;yes;diff-lst-year;upper-areas;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;present;absent;lt-norm;present;rotted;phyllosticta-leaf-spot
may;lt-normal;gt-norm;lt-norm;yes;same-lst-yr;low-areas;severe;none;lt-80;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;below-soil;brown;absent;watery;absent;none;present;dna;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;rhizoctonia-root-rot
august;normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;norm;yes;absent;tan;absent;absent;absent;none;absent;diseased;colored;abnorm;absent;present;norm;absent;norm;purple-seed-stain
april;lt-normal;gt-norm;gt-norm;no;same-lst-sev-yrs;whole-field;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;above-sec-nde;tan;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;normal;norm;norm;no;same-lst-two-yrs;upper-areas;minor;none;80-89;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;present;lt-norm;absent;rotted;bacterial-pustule
june;normal;gt-norm;norm;yes;same-lst-two-yrs;upper-areas;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;watery;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
july;normal;norm;norm;no;diff-lst-year;scattered;pot-severe;fungicide;lt-80;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;no;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
october;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;minor;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
june;normal;norm;norm;no;same-lst-sev-yrs;whole-field;minor;none;80-89;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;firm-and-dry;absent;none;absent;norm;absent;abnorm;present;present;lt-norm;absent;norm;bacterial-pustule
may;lt-normal;norm;lt-norm;yes;diff-lst-year;scattered;minor;fungicide;lt-80;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
september;normal;norm;norm;no;diff-lst-year;low-areas;pot-severe;fungicide;80-89;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;no;absent;dna;absent;absent;absent;brown;absent;norm;absent;abnorm;present;absent;norm;absent;rotted;brown-stem-rot
may;normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;other;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;lt-norm;absent;norm;brown-spot
june;lt-normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
august;normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
july;normal;lt-norm;norm;no;same-lst-two-yrs;scattered;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
august;normal;norm;gt-norm;no;same-lst-sev-yrs;whole-field;minor;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;alternarialeaf-spot
august;normal;lt-norm;norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;fungicide;90-100;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;brown-stem-rot
september;lt-normal;gt-norm;norm;no;same-lst-sev-yrs;low-areas;minor;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
september;normal;lt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;fungicide;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;tan;absent;absent;absent;black;present;norm;dna;norm;absent;absent;norm;absent;norm;charcoal-rot
june;normal;gt-norm;gt-norm;no;same-lst-two-yrs;scattered;minor;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;norm;yes;above-soil;dk-brown-blk;absent;firm-and-dry;absent;none;absent;dna;brown-w/blk-specks;abnorm;present;present;lt-norm;absent;rotted;bacterial-pustule
october;lt-normal;lt-norm;gt-norm;no;same-lst-sev-yrs;whole-field;minor;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;present;lt-norm;absent;norm;alternarialeaf-spot
october;normal;gt-norm;lt-norm;no;same-lst-sev-yrs;whole-field;severe;other;90-100;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;tan;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;purple-seed-stain
july;lt-normal;lt-norm;norm;no;same-lst-sev-yrs;upper-areas;pot-severe;none;lt-80;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
september;normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;upper-areas;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
june;normal;norm;norm;no;same-lst-yr;upper-areas;minor;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;below-soil;dna;absent;firm-and-dry;absent;none;absent;norm;absent;norm;absent;present;norm;absent;norm;phyllosticta-leaf-spot
october;normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
september;normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;other;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;brown-spot
july;lt-normal;gt-norm;lt-norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
october;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;scattered;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
september;normal;gt-norm;gt-norm;yes;diff-lst-year;low-areas;minor;other;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
july;normal;norm;lt-norm;no;diff-lst-year;scattered;minor;none;90-100;norm;abnorm;yellow-halos;w-s-marg;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
september;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
may;normal;gt-norm;lt-norm;yes;same-lst-sev-yrs;low-areas;minor;none;80-89;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;absent;absent;absent;norm;yes;above-soil;dna;absent;watery;absent;none;absent;norm;colored;norm;absent;absent;norm;absent;galls-cysts;bacterial-pustule
june;lt-normal;gt-norm;gt-norm;no;same-lst-sev-yrs;whole-field;pot-severe;none;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;gt-norm;gt-norm;yes;diff-lst-year;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
august;normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;none;80-89;abnorm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;brown;present;firm-and-dry;absent;none;absent;norm;dna;norm;absent;absent;norm;absent;norm;diaporthe-stem-canker
june;lt-normal;gt-norm;lt-norm;yes;same-lst-yr;low-areas;severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
may;lt-normal;gt-norm;norm;no;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
september;normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;no-w-s-marg;lt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;firm-and-dry;absent;none;absent;dna;absent;norm;absent;absent;norm;absent;galls-cysts;anthracnose
august;normal;gt-norm;norm;yes;same-lst-yr;upper-areas;pot-severe;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;alternarialeaf-spot
september;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;scattered;minor;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;rotted;frog-eye-leaf-spot
august;lt-normal;gt-norm;gt-norm;yes;same-lst-two-yrs;whole-field;pot-severe;other;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;above-soil;dna;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
july;normal;gt-norm;gt-norm;no;same-lst-two-yrs;upper-areas;minor;other;lt-80;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;no;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;anthracnose
may;normal;gt-norm;norm;yes;same-lst-yr;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;lt-normal;gt-norm;norm;yes;diff-lst-year;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
june;lt-normal;norm;norm;yes;diff-lst-year;upper-areas;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;upper-surf;norm;no;absent;dna;absent;firm-and-dry;absent;brown;absent;norm;dna;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
september;normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;firm-and-dry;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;alternarialeaf-spot
august;normal;lt-norm;gt-norm;no;same-lst-sev-yrs;whole-field;pot-severe;fungicide;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;tan;absent;absent;absent;black;present;norm;dna;norm;absent;absent;norm;absent;norm;charcoal-rot
september;normal;gt-norm;norm;no;diff-lst-year;scattered;minor;fungicide;90-100;norm;norm;absent;dna;dna;absent;absent;absent;norm;yes;absent;tan;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;purple-seed-stain
july;lt-normal;norm;gt-norm;yes;same-lst-yr;low-areas;severe;fungicide;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
october;normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
september;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;firm-and-dry;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;absent;lt-norm;present;norm;anthracnose
october;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;minor;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;norm;norm;no;same-lst-sev-yrs;low-areas;pot-severe;fungicide;lt-80;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
august;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
august;normal;lt-norm;norm;no;same-lst-sev-yrs;upper-areas;severe;fungicide;80-89;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;bacterial-blight
august;normal;gt-norm;lt-norm;no;same-lst-two-yrs;low-areas;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;no;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
may;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
august;normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;none;80-89;norm;abnorm;absent;dna;dna;absent;present;absent;abnorm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;lt-norm;present;norm;2-4-d-injury
june;normal;norm;gt-norm;yes;same-lst-sev-yrs;scattered;severe;fungicide;80-89;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;present;absent;upper-surf;abnorm;yes;absent;dna;absent;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
september;normal;gt-norm;norm;yes;same-lst-sev-yrs;scattered;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;brown;present;firm-and-dry;absent;none;absent;norm;dna;norm;absent;absent;norm;absent;norm;diaporthe-stem-canker
june;normal;gt-norm;norm;yes;same-lst-yr;scattered;minor;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;normal;gt-norm;norm;no;same-lst-two-yrs;scattered;minor;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;alternarialeaf-spot
june;lt-normal;gt-norm;gt-norm;no;same-lst-sev-yrs;whole-field;pot-severe;none;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;colored;norm;absent;absent;norm;absent;norm;brown-spot
september;normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;lt-normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;low-areas;pot-severe;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
october;lt-normal;gt-norm;norm;no;same-lst-two-yrs;upper-areas;pot-severe;none;90-100;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;brown;present;watery;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;absent;lt-norm;absent;norm;anthracnose
july;normal;gt-norm;norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;none;80-89;abnorm;norm;absent;dna;lt-1/8;absent;absent;upper-surf;abnorm;yes;above-soil;dk-brown-blk;present;absent;absent;none;absent;norm;colored;norm;present;absent;norm;present;rotted;cyst-nematode
september;lt-normal;norm;norm;yes;same-lst-sev-yrs;whole-field;minor;none;lt-80;norm;abnorm;no-yellow-halos;no-w-s-marg;gt-1/8;present;absent;absent;norm;no;absent;dna;absent;absent;absent;none;absent;few-present;distort;norm;absent;absent;norm;absent;galls-cysts;bacterial-pustule
september;normal;norm;norm;yes;same-lst-two-yrs;upper-areas;pot-severe;other;lt-80;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
september;normal;gt-norm;gt-norm;yes;diff-lst-year;low-areas;pot-severe;other;90-100;norm;norm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;absent;dna;present;absent;absent;none;absent;diseased;brown-w/blk-specks;norm;present;present;lt-norm;absent;norm;diaporthe-pod-&-stem-blight
july;lt-normal;norm;norm;yes;diff-lst-year;scattered;severe;fungicide;lt-80;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;bacterial-pustule
july;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;upper-areas;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
july;normal;lt-norm;lt-norm;yes;diff-lst-year;scattered;minor;fungicide;lt-80;norm;norm;absent;dna;gt-1/8;absent;absent;absent;norm;yes;absent;tan;absent;absent;present;none;absent;dna;brown-w/blk-specks;abnorm;absent;present;norm;absent;norm;purple-seed-stain
may;lt-normal;norm;norm;no;diff-lst-year;low-areas;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dna;present;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
july;normal;gt-norm;norm;yes;same-lst-yr;upper-areas;pot-severe;other;90-100;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dna;present;firm-and-dry;absent;none;present;norm;distort;norm;absent;absent;norm;absent;norm;diaporthe-stem-canker
july;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;severe;other;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
august;normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;scattered;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;gt-norm;gt-norm;yes;same-lst-yr;upper-areas;minor;none;90-100;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;absent;firm-and-dry;absent;none;absent;diseased;absent;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
